;;PROCESO GESTIÓN DEL TALENTO HUMANO;;;;;;;;;;;;;;"Código: FGN-AP01-F-182
 
 Versión: 01";;;;;;;;;
120;4/9/2025;3 - NOROCCIDENTAL;Antioquia;Pasillo;Fiscalía La Pintada ;"FÍSICO 1 - DISCONFORT TÉRMICO POR FRIO O CALOR
 VENTILACIÓN";III;Se evidencia 1 solo aire acondicionado para abastecer toda la sede;"Se recomienda evaluar la instalación de 1 aire acondicionado ya que la sede solo cuenta con uno (1) solo y este debe de abastecer toda la sede incluyendo la oficina de la fiscal local, lo cual hace que no sea suficiente para mantener una temperatura adecuada.";Bienes ;;;;;;;;;;;;;;;
121;4/9/2025;3 - NOROCCIDENTAL;Antioquia;Pasillo;Fiscalía La Pintada ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia humedad y hongos en el aire acondicionado;"Se recomienda revisar la humedad y los hongos en el área donde se encuentra el aire acondicionado, ya que está parcialmente cerrado debido a que comparte la ventilación con toda la sede, lo que impide una ventilación adecuada.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
122;4/9/2025;3 - NOROCCIDENTAL;Antioquia;"Cocineta, baño";Fiscalía La Pintada ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia humedad y hongos;"Se recomienda revisar la humedad y los hongos en la pared en donde se encuentra la cocineta y el baño, ya que hacia la parte de
atrás se evidencian unos arbustos y estos son los generan este hallazgo en la sede.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
123;4/9/2025;3 - NOROCCIDENTAL;Antioquia;Área de almacenamiento de cuarto de aseo;Fiscalía La Pintada ;"QUÍMICO - LÍQUIDOS ÁCIDOS, BASES, CORROSIVOS";III;Se evidencia productos químicos – líquidos (productos para el proceso de limpieza y desinfección) sin etiquetas;"Se recomienda solicitar al proveedor de limpieza y desinfección las etiquetas de los productos químicos que no cuentan con ella ya que es de suma importancia poder identificar con claridad su uso seguro y adecuado, tanto en el hogar como en ambientes laborales.
Estas etiquetas proporcionan información crítica sobre las propiedades y los riesgos asociados con los productos, así como las medidas de precaución necesarias para manejar, almacenar y desechar dichos
productos de manera segura.";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
124;4/9/2025;3 - NOROCCIDENTAL;Antioquia;Cuarto o área de archivo;Fiscalía La Pintada ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencia almacenamiento de cajas por encima de la última división de la estantería como también documentación por fuera de las cajas
archivadoras.";"Se sugiere utilizar archivadores y estanterías disponibles para almacenar la documentación que se encuentra por fuera de las cajas, como también ubicar la documentación y cajas que se encuentran por encima del último nivel de las estanterías en los niveles más bajos.";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
125;4/9/2025;3 - NOROCCIDENTAL;Antioquia;Toda la sede;Fiscalía La Pintada ;BIOLÓGICO 1 - MICROORGANISMOS;III;Se evidencia almacenamiento inadecuado de los residuos ya que no se cuenta con bolsas según su clasificación de colores correspondientes para cada tipo de residuo.;"Se sugiere instalar bolsas para el almacenamiento y disposición final adecuada de cada tipo de residuo teniendo en cuenta los colores (blanco, verde, negro y rojo).
Se debe de tener en cuenta que la separación de residuos es una práctica fundamental para la gestión adecuada de desechos, contribuyendo al cuidado del medio ambiente y a la eficiencia en el reciclaje";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
126;4/10/2025;3 - NOROCCIDENTAL;Antioquia;Pared del pasillo piso 1.;Fiscalía Jericó ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia humedad en la pared;"Se sugiere gestionar con el área de mantenimiento de sedes las reparaciones en el inmueble
(humedades, vidrio y techo)";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
127;4/10/2025;3 - NOROCCIDENTAL;Antioquia;Patio piso 1.;Fiscalía Jericó ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia desnivel sin demarcar.;Se sugiere demarcar desniveles.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
128;4/10/2025;3 - NOROCCIDENTAL;Antioquia;Escaleras de acceso al piso 2.;Fiscalía Jericó ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian escaleras sin cinta antideslizante.;Se sugiere gestionar la instalación de la cinta antideslizante.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
129;4/10/2025;3 - NOROCCIDENTAL;Antioquia;Archivo piso 2.;Fiscalía Jericó ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se  evidencia  almacenamiento  de  cajas por   encima   de   la   última   división   de estanterías;Se sugiere utilizar estanterías y archivadores existentes para el almacenamiento de cajas y documentos.;"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
130;4/10/2025;3 - NOROCCIDENTAL;Antioquia;Puestos de trabajo de las unidades local y seccional.;Fiscalía Jericó ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;Se   evidencia   cableado   suelto   en   los puestos de trabajo.;Se sugiere canalizar cableado.;Tics ;;;;;;;;;;;;;;;
131;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Techo del archivo de la unidad local.;Fiscalía Santa Bárbara ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";II;Se evidencian hongos y humedades en el techo.;Se sugiere tramitar con el departamento de administración de sedes y el propietario del inmueble el mantenimiento de las humedades.;Gestión Contractual ;;;;;;;;;;;;;;;
132;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Escaleras de acceso a todos los pisos;Fiscalía Santa Bárbara ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian escaleras sin pasamanos en uno de los costados.;"Se sugiere tramitar con el departamento de administración de sedes y el propietario del inmueble la instalación de los pasamanos faltantes y la cinta
antideslizante.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
133;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Puestos de trabajo de las unidades local y seccional;Fiscalía Santa Bárbara ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia cableado suelto en los puestos de trabajo;Se sugiere canalizar cableado.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
134;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Cocina unidad seccional.;Fiscalía Santa Bárbara ;"QUÍMICO - LÍQUIDOS ÁCIDOS, BASES, CORROSIVOS";III;Se   evidencian   productos   de   limpieza cerca de los utensilios de cocina.;"Se sugiere tramitar con el contratista ASEAR la separación y correcto
almacenamiento de los productos de limpieza.";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
135;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Cocina unidad seccional.;Fiscalía Santa Bárbara ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se  evidencian  cajas,  materas, mesas  y cajas   sin   ordenar   en   el   pasillo   y   la cocineta.";Se sugiere gestionar con el contratista ASEAR la limpieza de los espacios.;"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
136;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Ascensor del inmueble.;Fiscalía Santa Bárbara ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;"Se evidencia ascensor sin certificado de funcionamiento   ni   mantenimiento,   sin señalización de uso ni timbre emergencia";"Se sugiere tramitar con el departamento de administración de sedes y el propietario del inmueble los certificados de funcionamiento y mantenimiento del ascensor, la señalización correspondiente al uso e instalación del
timbre de emergencia.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
137;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Pasillo principal de la sede;Fiscalía Fredonia ;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);III;"Se identifica lámparas, no tienen su respectivo tubo de descarga";"Se sugiere la instalación de los tubos de descarga, a las lámparas";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
138;4/11/2025;3 - NOROCCIDENTAL;Antioquia;"Pasillo principal, cocineta";Fiscalía Fredonia ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";II;"Se evidencia tomas eléctricos, sin su respectiva tapa de seguridad y con quemaduras.";"Se sugiere la instalación de sus respectivas tapas. Se sugiere cambio de toma que presenta
quemadura.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
139;4/11/2025;3 - NOROCCIDENTAL;Antioquia;Caja o tablero de breakers;Fiscalía Fredonia ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";II;"Se evidencia caja o tablero de breakers, sin su respectiva tapa de seguridad , ni señalización (riesgo eléctrico)";Se sugiere la instalación de tapa de seguridad y señalización de seguridad (riesgo eléctrico);Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
140;4/11/2025;3 - NOROCCIDENTAL;Antioquia;N/A;Fiscalía Támesis ;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;
141;4/21/2025;3 - NOROCCIDENTAL;Antioquia;Oficina del asistente de la fiscal seccional.;Fiscalía Ciudad Bolívar ;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);"III
";"Se evidencia luminaria de lámpara tubular en la oficina del asistente de la fiscal seccional el mal
estado.";Se recomienda realizar mantenimiento y cambio de la luminaria de la lámpara tubular que se encuentra en mal estado.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
142;4/21/2025;3 - NOROCCIDENTAL;Antioquia;Archivo seccional;Fiscalía Ciudad Bolívar ;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);"III
";"Se evidencia luminaria de lámpara tubular del archivo seccional el mal
estado";Se recomienda realizar mantenimiento y cambio de la luminaria de la lámpara tubular que se encuentra en mal estado.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
143;4/21/2025;3 - NOROCCIDENTAL;Antioquia;Archivo local;Fiscalía Ciudad Bolívar ;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);"III
";"Se evidencia luminaria de lámpara tubular del archivo
local el mal estado.";Se recomienda realizar mantenimiento y cambio de la luminaria de la lámpara tubular que se encuentra en mal estado.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
144;4/21/2025;3 - NOROCCIDENTAL;Antioquia;Oficina asistente seccional.;Fiscalía Ciudad Bolívar ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";"Se evidencia almacenamiento de cajas por encima de la última división de las estanterías superando los dos
metros de altura";Se sugiere utilizar archivadores y estanterías disponibles para almacenar las cajas que se encuentran por encima del último nivel de las estanterías y almacenar la documentación en lugares que no superen los dos metros de alturas.;"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
145;4/21/2025;3 - NOROCCIDENTAL;Antioquia;Archivo seccional.;Fiscalía Ciudad Bolívar ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";"Se evidencia almacenamiento de cajas por encima de la última división de las estanterías superando los dos metros de altura como también documentación por
fuera de las cajas archivadoras.";"Se sugiere utilizar archivadores y estanterías disponibles para almacenar la documentación que se encuentra por fuera de las cajas, como también ubicar la documentación y cajas que se encuentran por encima del último nivel  en lugares que no superen los dos metros de alturas.";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
146;4/21/2025;3 - NOROCCIDENTAL;Antioquia;Archivo Local.;Fiscalía Ciudad Bolívar ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";"Se evidencia almacenamiento de cajas por encima de la última división de las estanterías superando los dos
metros de altura";Se sugiere utilizar archivadores y estanterías disponibles para almacenar las cajas que se encuentran por encima del último nivel de las estanterías y almacenar la documentación en lugares que no superen los dos metros de alturas.;"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
147;4/21/2025;3 - NOROCCIDENTAL;Antioquia;Toda la sede;Fiscalía Ciudad Bolívar ;BIOLÓGICO 1 - MICROORGANISMOS;"III
";"Se evidencia almacenamiento inadecuado de los residuos ya que no se cuenta con bolsas según su clasificación de colores correspondientes
para cada tipo de residuo.";"Se sugiere instalar bolsas  para el almacenamiento y disposición final adecuada de cada tipo de residuo teniendo en cuenta los colores (blanco, verde, negro y rojo).
Se debe de tener en cuenta que la separación de residuos es una práctica fundamental para la gestión adecuada de desechos, contribuyendo al cuidado del medio ambiente y a la eficiencia en el reciclaje";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
148;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Sala espera de usuarios y visitantes;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";Se evidencia desnivel y grietas en el piso;"Se recomienda realizar mantenimiento y revisión del desnivel y las grietas presentes en el piso de la sala de espera de usuarios y visitantes. Al igual que los desniveles, las grietas pueden originarse por distintos factores, como cambios de temperatura, asentamientos del terreno, vibraciones o humedad. Es fundamental identificar la causa específica para prevenir la reaparición de estos daños.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
149;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Área de almacén de evidencias y archivo;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";Se evidencia desnivel en el piso del área de almacén de evidencias y archivo;"Se recomienda realizar labores de mantenimiento y revisión en los desniveles del piso observados en el área de almacén de evidencias y archivo. Estos desniveles pueden tener diversas causas, como variaciones de temperatura, asentamientos del terreno,
vibraciones o presencia de humedad.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
150;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Toda la sede;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";Se evidencia humedad y grietas en la pared y placa del techo;"Se recomienda realizar mantenimiento y revisión a la humedad y grieta de la pared y placa del techo de toda la sede, ya que es esencial determinar la causa de la humedad (fugas de agua, filtraciones desde el exterior, condensación interna, etc.) Esto le permitirá tomar las medidas adecuadas para solucionarlo de raíz.
Las grietas se evidencian de un tamaño considerable junto con la humedad para toda la sede, por eso se recomienda realizar revisión de las grietas.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
151;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Oficina Técnico investigador II;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";Se evidencia vidrio roto de la puerta en la oficina del Técnico investigador II;"Se recomienda reemplazar el vidrio roto de la puerta, ya que representa un riesgo potencial para la seguridad de los servidores y usuarios y puede comprometer la funcionalidad del área.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
152;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Ventana del área de la sala de espera de usuarios o visitantes;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";Se evidencia grieta alrededor del marco de la ventana;"Se recomienda realizar mantenimiento y revisión a la grieta de la ventana, ya que esta se encuentra alrededor de todo el marco.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
153;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Entrada a la sede;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";Se evidencia escaleras sin cinta antideslizantes;"Se recomienda la instalación de cintas antideslizantes en las escaleras, ya que actualmente no cuentan con este elemento de seguridad.";Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
154;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Toda la sede;Fiscalía Yarumal ;BIOLÓGICO 1 - MICROORGANISMOS;"III
";Se evidencia almacenamiento inadecuado de los residuos ya que no se cuenta con bolsas según su clasificación de colores correspondientes para cada tipo de residuo.;"Se sugiere instalar bolsas para el almacenamiento y disposición final adecuada de cada tipo de residuo teniendo en cuenta los colores (blanco, verde, negro y rojo).
Se debe tener en cuenta que la separación de residuos es una práctica fundamental para la gestión adecuada de desechos, contribuyendo al cuidado del medio ambiente y a la eficiencia en el reciclaje";"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
155;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Sala de espera de usuarios o visitantes;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";"III
";Se evidencia cableado eléctrico por fuera de las canaletas;Se recomienda reorganizar y canalizar adecuadamente el cableado eléctrico que actualmente se encuentra expuesto fuera de las canaletas.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
156;4/24/2025;3 - NOROCCIDENTAL;Antioquia;Entrada a la oficina de la sede;Fiscalía Yarumal ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";"III
";"Se evidencian silla rima, escombros, tablas, canaletas y demás almacenados inadecuadamente.";Se recomienda realizar orden y aseo en entrada de la oficina de la sede ya que se evidencia elementos que no pertenecen al área y otros se encuentran ubicados inadecuadamente.;"Coordinador sede,
Supervisor aseo ";;;;;;;;;;;;;;;
157;4/25/2025;3 - NOROCCIDENTAL;Antioquia;Techo de oficina y paredes del cuarto eléctrico.;Fiscalía Amaga ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se   evidencia   desprendimiento   de   la pintura en techo y paredes;Se sugiere gestionar con el área de mantenimiento de sedes y el propietario del inmueble las reparaciones del techo y paredes.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
158;4/25/2025;3 - NOROCCIDENTAL;Antioquia;Escaleras de acceso a la sede.;Fiscalía Amaga ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencian escaleras con cinta antideslizante desgastada.;Se sugiere gestionar con el área de mantenimiento de sedes la reposición de la cinta antideslizante.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
159;4/25/2025;3 - NOROCCIDENTAL;Antioquia;Archivo de la sede.;Fiscalía Amaga ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se evidencia almacenamiento de cajas por encima de la última división de estanterías.;Se sugiere utilizar estanterías y archivadores existentes para el almacenamiento de cajas y documentos.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
160;4/25/2025;3 - NOROCCIDENTAL;Antioquia;Puestos de trabajo.;Fiscalía Amaga ;"CONDICIONES DE SEGURIDAD - ELÉCTRICO (CABLES O CONEXIONES DEFECTUOSAS - CONTACTO CON ALTA, MEDIA Y BAJA TENSIÓN - ESTÁTICA)";III;Se   evidencia   cableado   suelto   en   los puestos de trabajo.;Se sugiere canalizar cableado.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
161;4/25/2025;3 - NOROCCIDENTAL;Antioquia;Oficina.;Fiscalía Amaga ;"CONDICIONES DE SEGURIDAD 1 - LOCATIVO
 (ALMACENAMIENTO DE MATERIALES - CAÍDA DE OBJETOS - CONDICIONES DE ORDEN Y ASEO - ESTRUCTURAS EN MAL ESTADO - PISOS CON DIFERENCIA DE NIVEL - PISOS DESLIZANTES - SIN PASAMANOS - SUPERFICIES DE TRABAJO)";III;Se    evidencian    insumos    oficina    sin desempacar (mesas y sillas);Se sugiere tramitar con el área de bienes la recolección de los elementos.;Bienes ;;;;;;;;;;;;;;;
162;4/25/2025;3 - NOROCCIDENTAL;Antioquia;Pasillo.;Fiscalía Amaga ;FÍSICO 1 - ILUMINACIÓN (DEFICIENCIA - EXCESO - REFLEJO DE LUZ);III;Se evidencian luminarias fundidas.;Se sugiere realizar cambio de luminarias fundidas.;Mantenimiento y Administración de Sedes.;;;;;;;;;;;;;;;
